TITLE,LOCATIONS,RELEASE_YEAR
Mrs. Doubtfire,516 Green Street,1993
Mrs. Doubtfire,100 Embarcadero Street,1993
Nina Takes a Lover,,1994
Nine Months,The Malloch Apartment Building (1360 Montgomery Street),1995
Nine Months,Wasteland Store (1600 Haight Street),1995
Nine Months,Star's Café (55 Golden Gate Avenue at Van Ness),1995
Nine Months,"St. Peter & Paul's Church (666 Filbert Street, Washington Square)",1995
Nine Months,"San Francisco General Hospital Medical Center (1001 Potrero Avenue, Po",1995
Nine Months,Pierce Street between Pacific & Green Streets,1995
Nine Months,Montgomery & Vallejo Streets,1995
Nine Months,Marathon Plaza (303 2nd Street),1995
Nine Months,Jones Street at Bush,1995
Nine Months,Jack Kerouac Alley between Columbus & Grant Streets,1995
Nine Months,Chrissy Field,1995
Nine Months,Belli Building (722 Montgomery Street at Washington),1995
Nine Months,Alamo Square,1995
Nine Months,60 Spear Street,1995
Nine Months,"101 Henry Adams Place, 4th Floor",1995
Nine to Five,Albert S. Samuels Clock (856 Market Street between Powell and Stockton,1980
Nora Prentiss,Belgravia Apartments (795 Sutter Street at Jones),1947
On the Beach,,1959
Pacific Heights,Texas & 19th Streets (Potrero Hill),1990
Pacific Heights,Financial District,1990
Pacific Heights,Chinatown,1990
Pal Joey,"Spreckels Mansion (2080 Washington Street, Pacific Heights)",1957
Pal Joey,Coit Tower,1957
Pal Joey,Barbary Coast,1957
Panther,,1995
Patch Adams,Treasure Island,1998
Patch Adams,Sheraton Palace Hotel (639 Market Street),1998
Patch Adams,Presidio (Golden Gate National Recreation Area),1998
Patty Hearst,Bank of America (38th Street at Balboa Street),1988
Patty Hearst,"Postcard Row (Alamo Square, Hayes Valley)",1988
Petulia,"Japanese Tea Garden, Hagiwara Tea Garden Drive, Golden Gate Park",1968
Petulia,"Fairmont Hotel (950 Mason Street, Nob Hill)",1968
Petulia,Pier 43 1/2,1968
Petulia,Cala Foods (California Street and Hyde),1968
Petulia,307 Filbert Street,1968
Petulia,2417 Franklin Street,1968
Petulia,"Fort Point (Presidio, Golden Gate National Recreation Area)",1968
Phenomenon,Treasure Island,1996
Playing Mona Lisa,Conservatory of Flowers (Golden Gate Park),2000
"Play it Again, Sam",Balboa at 22nd Avenue,1972
"Play it Again, Sam","The Music Concourse (Martin Luther King, Jr. Drive, Golden Gate Park)",1972
"Play it Again, Sam",Surf Theater (4520 Irving Street),1972
"Play it Again, Sam",Hyde Street Cable Car,1972
"Play it Again, Sam",Aquatic Park (Jefferson Street),1972
"Play it Again, Sam",15-17 Fresno Street,1972
Pleasure of His Company,Grace Cathedral Episcopal Church (1100 California Street),1961
Pleasure of His Company,2700 Vallejo Street (Pacific Heights),1961
Point Blank,"Fort Point (Presidio, Golden Gate National Recreation Area)",1967
Point Blank,Alcatraz Island,1967
Pretty Woman,,1990
Psych-Out,,1968
Quicksilver,Pacific Stock Exchange,1986
Raising Cain,,1992
Romeo Must Die,Chinatown,2000
Romeo Must Die,Embarcadero Street,2000
San Francisco,The Barbary Coast,1936
San Francisco,City Hall,1936
Sausalito,The Castro,2000
Serial,Ferry Building,1980
Seven Girlfriends,Golden Gate Bridge,1999
Shadow of the Thin Man,Bay Bridge,1941
Shattered,,1991
Shoot the Moon,"Fairmont Hotel (950 Mason Street, Nob Hill)",1982
Sister Act,"St. Paul's Church (Church Street, Noe Valley)",1992
Sister Act 2: Back in the Habi,"St. Peter & Paul's Church (666 Filbert Street, Washington Square)",1993
Sister Act 2: Back in the Habi,"Maritime Museum, Building 201 (Fort Mason)",1993
Sister Act 2: Back in the Habi,Coit Tower,1993
Sister Act 2: Back in the Habi,CCSF Alemany Campus,1993
Sister Act 2: Back in the Habi,"Carnelian Room, Bank of America Building (555 California Street, 53rd ",1993
Sneakers,The Embarcadero,1992
Sneakers,Hills Brothers Plaza (The Embarcadero at Harrison),1992
So I Married an Axe Murderer,Vesuvio Café (255 Columbus Avenue),1993
So I Married an Axe Murderer,Swedenborgian Church (2107 Lyon Street),1993
So I Married an Axe Murderer,St. John's Presbyterian Church (25 Lake Street),1993
So I Married an Axe Murderer,San Francisco Chronicle (901 Mission Street at 15th Street),1993
So I Married an Axe Murderer,Rocco's Corner (Columbus Street),1993
So I Married an Axe Murderer,Prudente's Italian Deli (1462 Grant Ave at Union),1993
So I Married an Axe Murderer,Fog City Diner (1300 Battery Street),1993
So I Married an Axe Murderer,Edinburgh Castle (950 Geary Street),1993
So I Married an Axe Murderer,City Light Bookstore (261 Columbus Avenue),1993
So I Married an Axe Murderer,Café Picaro 3120 16th Street,1993
So I Married an Axe Murderer,Alcatraz Island,1993
So I Married an Axe Murderer,"Aladdin Terrace (off of Taylor Street, Between Filbert and Union)",1993
